"Kod";"Nazwa";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;1995;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;1996;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;1997;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;1998;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;1999;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2000;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2001;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2002;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2003;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2004;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2005;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2006;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2007;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2008;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2009;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2010;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2011;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2012;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2013;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2014;[osoba]";"ogółem;faktyczne miejsce zamieszkania;stan na 31 XII;ogółem;2015;[osoba]";
0201011;"Bolesławiec (1)";44436;44298;44184;44026;41914;41731;41646;41371;41263;41117;40984;40679;40384;40258;40021;40309;40119;39851;39603;39464;39373;
0201022;"Bolesławiec (2)";11027;11146;11316;11389;11616;11749;11859;12079;12164;12190;12289;12542;12673;12945;13140;13564;13714;13899;13995;14092;14104;
0201032;"Gromadka (2)";5915;5907;5881;5857;5685;5695;5639;5613;5642;5613;5586;5565;5525;5501;5443;5515;5491;5519;5496;5483;5438;
0201043;"Nowogrodziec (3)";14676;14726;14718;14803;14638;14665;14688;14689;14717;14736;14729;14779;14831;14834;14912;15218;15287;15285;15240;15250;15281;
0201044;"Nowogrodziec - miasto (4)";4083;4103;4102;4140;4113;4128;4112;4110;4086;4058;4056;4068;4038;4030;4031;4205;4248;4236;4230;4227;4259;
0201045;"Nowogrodziec - obszar wiejski (5)";10593;10623;10616;10663;10525;10537;10576;10579;10631;10678;10673;10711;10793;10804;10881;11013;11039;11049;11010;11023;11022;
0201052;"Osiecznica (2)";5804;5786;5979;6027;6477;6728;6856;6895;6974;7077;7064;7068;7186;7291;7394;7585;7547;7542;7553;7558;7490;
0201062;"Warta Bolesławiecka (2)";7549;7548;7518;7488;7410;7437;7433;7485;7548;7645;7689;7868;7958;8019;8141;8315;8370;8324;8419;8499;8513;
0202011;"Bielawa (1)";34382;34203;34008;33793;32163;32106;32063;31787;31628;31530;31327;31197;31106;31023;30871;31778;31583;31480;31186;30987;30652;
0202021;"Dzierżoniów (1)";38066;38104;37986;37753;35790;35697;35550;35327;35162;34878;34809;34536;34471;34263;34168;35017;34838;34679;34428;34168;33946;
0202031;"Pieszyce (1)";10102;9971;9952;10002;9750;9663;9614;9554;9532;9576;9523;9459;9440;9379;9370;9693;9688;9678;9626;9586;9628;
0202041;"Piława Górna (1)";7177;7145;7102;7068;6980;6959;6886;6840;6838;6811;6804;6742;6763;6736;6790;6805;6776;6749;6696;6702;6633;
0202052;"Dzierżoniów (2)";9847;9753;9728;9795;9514;9468;9449;9477;9453;9461;9442;9380;9318;9257;9214;9395;9413;9353;9339;9335;9250;
0202062;"Łagiewniki (2)";7657;7653;7565;7576;7347;7330;7359;7302;7238;7284;7253;7292;7291;7310;7332;7576;7596;7540;7538;7531;7541;
0202073;"Niemcza (3)";6579;6494;6516;6479;6266;6201;6191;6192;6164;6113;6052;6011;5914;5912;5891;5910;5868;5805;5800;5766;5699;
0202074;"Niemcza - miasto (4)";3515;3468;3470;3485;3298;3269;3276;3264;3216;3201;3146;3126;3085;3110;3121;3154;3144;3123;3121;3107;3062;
0202075;"Niemcza - obszar wiejski (5)";3064;3026;3046;2994;2968;2932;2915;2928;2948;2912;2906;2885;2829;2802;2770;2756;2724;2682;2679;2659;2637;
0203011;"Głogów (1)";74235;74390;74289;74253;70545;70575;70588;70053;69657;69366;69139;68737;68297;68016;67899;69630;69259;69185;68997;68836;68666;
0203022;"Głogów (2)";4489;4507;4581;4635;4936;4958;4997;5131;5257;5334;5430;5669;5795;5859;5947;6231;6363;6450;6437;6438;6538;
0203032;"Jerzmanowa (2)";2604;2643;2678;2714;2678;2762;2807;2857;2915;3061;3135;3299;3522;3727;3857;4148;4319;4449;4597;4666;4743;
0203042;"Kotla (2)";4160;4132;4161;4134;4051;4034;4050;4060;4071;4066;4121;4125;4128;4141;4201;4314;4341;4380;4391;4438;4461;
0203052;"Pęcław (2)";2281;2313;2328;2319;2236;2266;2257;2294;2313;2305;2315;2323;2308;2326;2297;2366;2359;2335;2327;2315;2281;
0203062;"Żukowice (2)";3604;3605;3619;3581;3516;3497;3482;3473;3505;3505;3529;3517;3534;3519;3511;3626;3608;3587;3553;3529;3516;
0204013;"Góra (3)";21467;21498;21683;21728;20937;20973;21014;21057;20968;20919;20901;20793;20793;20761;20702;21010;20855;20786;20694;20554;20426;
0204014;"Góra - miasto (4)";12778;12863;13006;13008;12660;12730;12747;12778;12714;12671;12628;12511;12438;12409;12371;12627;12503;12492;12403;12316;12217;
0204015;"Góra - obszar wiejski (5)";8689;8635;8677;8720;8277;8243;8267;8279;8254;8248;8273;8282;8355;8352;8331;8383;8352;8294;8291;8238;8209;
0204022;"Jemielno (2)";3304;3276;3255;3271;3149;3159;3134;3137;3139;3099;3100;3113;3103;3119;3088;3169;3180;3176;3154;3171;3130;
0204032;"Niechlów (2)";5370;5366;5367;5384;5220;5249;5201;5233;5229;5212;5146;5147;5113;5112;5107;5185;5175;5157;5087;5114;5004;
0204043;"Wąsosz (3)";7685;7641;7671;7634;7515;7543;7440;7390;7428;7433;7460;7411;7409;7418;7420;7481;7520;7506;7456;7397;7380;
0204044;"Wąsosz - miasto (4)";2792;2794;2778;2792;2821;2803;2772;2751;2768;2814;2828;2800;2789;2789;2775;2780;2809;2819;2807;2774;2771;
0204045;"Wąsosz - obszar wiejski (5)";4893;4847;4893;4842;4694;4740;4668;4639;4660;4619;4632;4611;4620;4629;4645;4701;4711;4687;4649;4623;4609;
