"Kod";"Nazwa";"ogółem;ogółem;2012;[osoba]";"ogółem;ogółem;2013;[osoba]";"ogółem;ogółem;2014;[osoba]";"ogółem;ogółem;2015;[osoba]";"w wieku przedprodukcyjnym;ogółem;2012;[osoba]";"w wieku przedprodukcyjnym;ogółem;2013;[osoba]";"w wieku przedprodukcyjnym;ogółem;2014;[osoba]";"w wieku przedprodukcyjnym;ogółem;2015;[osoba]";"w wieku produkcyjnym;ogółem;2012;[osoba]";"w wieku produkcyjnym;ogółem;2013;[osoba]";"w wieku produkcyjnym;ogółem;2014;[osoba]";"w wieku produkcyjnym;ogółem;2015;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2012;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2013;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2014;[osoba]";"w wieku produkcyjnym mobilnym;ogółem;2015;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2012;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2013;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2014;[osoba]";"w wieku produkcyjnym niemobilnym;ogółem;2015;[osoba]";"w wieku poprodukcyjnym;ogółem;2012;[osoba]";"w wieku poprodukcyjnym;ogółem;2013;[osoba]";"w wieku poprodukcyjnym;ogółem;2014;[osoba]";"w wieku poprodukcyjnym;ogółem;2015;[osoba]";
0201011;"Bolesławiec (1)";39851;39603;39464;39373;6299;6205;6186;6117;25160;24720;24307;23955;14932;14784;14645;14633;10228;9936;9662;9322;8392;8678;8971;9301;
0201022;"Bolesławiec (2)";13899;13995;14092;14104;2873;2823;2792;2707;9302;9364;9381;9362;5794;5811;5845;5833;3508;3553;3536;3529;1724;1808;1919;2035;
0201032;"Gromadka (2)";5519;5496;5483;5438;1045;1007;971;946;3633;3607;3580;3529;2237;2237;2255;2266;1396;1370;1325;1263;841;882;932;963;
0201043;"Nowogrodziec (3)";15285;15240;15250;15281;3134;3068;3034;3004;10028;9970;9941;9943;6363;6346;6338;6310;3665;3624;3603;3633;2123;2202;2275;2334;
0201044;"Nowogrodziec - miasto (4)";4236;4230;4227;4259;753;739;729;737;2852;2829;2801;2811;1748;1746;1744;1743;1104;1083;1057;1068;631;662;697;711;
0201045;"Nowogrodziec - obszar wiejski (5)";11049;11010;11023;11022;2381;2329;2305;2267;7176;7141;7140;7132;4615;4600;4594;4567;2561;2541;2546;2565;1492;1540;1578;1623;
0201052;"Osiecznica (2)";7542;7553;7558;7490;1723;1686;1664;1601;4905;4899;4888;4823;3358;3353;3348;3299;1547;1546;1540;1524;914;968;1006;1066;
0201062;"Warta Bolesławiecka (2)";8324;8419;8499;8513;1666;1645;1688;1674;5497;5541;5517;5507;3420;3476;3467;3468;2077;2065;2050;2039;1161;1233;1294;1332;
0202011;"Bielawa (1)";31480;31186;30987;30652;4802;4682;4639;4530;20210;19857;19469;19040;11927;11783;11587;11420;8283;8074;7882;7620;6468;6647;6879;7082;
0202021;"Dzierżoniów (1)";34679;34428;34168;33946;5167;5109;4990;5005;21857;21488;21079;20573;12755;12630;12444;12174;9102;8858;8635;8399;7655;7831;8099;8368;
